Skill Name,Use Count,Grouped Intents
ParrotSkill,55,"StartParrotIntent, StopParrotIntent"
KrunnerPlasmaDesktopSkill,54,"CalculateIntent, KrunnerKeywordIntent, RecentFilesIntent"
AustralianNewsSkill,53,AustralianNewsIntent
WolframAlphaSkill,53,"Info, handle_tell_joke"
TunerSkill,52,"TunerIntent, TuningsIntent"
CryptocurrencySkill,51,"CryptocoinChangeIntent, CryptocoinPriceIntent, CryptocoinVolumeIntent"
FaceRecognition,50,"recognize_face, train_user_face"
ZorkSkill,48,"DeleteSave, PlayZork"
regexProblem,48,handle_show_world_time
IntroCMSLesson1Skill,47,"CPanelIntent, CancelIntent, CreateCategoryIntent, Lesson1Intent, SaveAndCloseIntent"
AidaSkill,47,"form_opinion, formopinion, handle_hello_world_intent, yolo"
PomodoroSkill,46,StopMySkillIntent
ImageCaptionSkill,46,CaptionIntent
MycroftHelloSkill,45,handle_hello_intent
TestSkill,45,"TestIntent, weird_handler"
AsccbotChoiceSkill,44,"FiveIntent, NoIntent, OneIntent, ThreeIntent, TwoIntent, Y2000Intent, Y70Intent, Y80Intent, YesIntent"
TemplateSkill,43,"handle_change_theme_intent, handle_count_intent, handle_hello_world_intent"
NodeLightController,43,LightsOnOff
BillandTedSkill,42,"StallionIntent, StationIntent"
SendSMSSkill,41,SendSMSIntent
GoodNightSkill,40,GoodNightIntent
CorporateITFAQSkill,40,"CorporateITFAQIntent, EmailAttachmentSizeLimit, ITManagerIntent, KerberosDomainNameIntent, VpnAddressIntent, WebmailAddressIntent, WifiPasswordIntent, WifiSsid"
test-mycroft-volume.mycroftai,40,"DecreaseVolume, IncreaseVolume, SetVolume, UnmuteVolume"
NextLaunchSkill,39,NextLaunchIntent
EventTestSkill,37,test_handler
ClementineMusicPlayerSkill,37,"ClementineNextKeywordIntent, ClementinePlayKeywordIntent, ClementineStopKeywordIntent, clementinePauseKeywordIntent"
RadioHenriDesSkill,36,RadioRneIntent
test-mycroft-reminder.mycroftai,36,"ReminderSkillCreateIntent, ReminderSkillDeleteIntent, ReminderSkillListIntent"
KickstarterTrackerSkill,36,handle_kickstarter_tracker
MagicMirrorVoiceControlSkill,35,"AdjustBrightnessIntent, HandleSwipeIntent, ModuleActionIntent, SystemActionIntent"
RadioRneSkill,35,RadioRneIntent
StephenHawkingSkill,32,"StephenHawkingBirth, StephenHawkingDeath, StephenHawkingQuote"
test-mycroft-audio-record.mycroftai,32,"AudioRecordSkillIntent, AudioRecordSkillPlayIntent, AudioRecordSkillStopIntent, AudioRecordSkillStopPlayIntent"
MPDSkill,32,PlayPlaylistIntentMPDSkill
PickupLineSkill,32,PKlineIntent
IntroCMSLessonsSkill,31,"CreateArticleIntent, CreateCategoryIntent, DuplicateArticleIntent"
PlagueisSkill,30,"DarthPlagueis, FamiliarIntent, LearnThisPower, NotFamiliarIntent, SaveFromDeathIntent, WhatHappened"
SensAnSmsSkill,30,SendAnSmsIntent
FritzBoxSkill,29,"StateIntent, ToggleIntent"
EnableDisableSkill,29,"OrangeIntent, disable, enable"
Karma Skill,29,KarmaIntent
speech_client,29,"TranslateIntent, TranslateToIntent"
AsccbotEmotionSkill,28,"BadMoodIntent, GoodMoodIntent, NeutralMoodIntent"
HelpWithCommandsSkill,28,HelpIntent
test-mycroft-playback-control.mycroftai,27,"handle_next, handle_pause, handle_play, handle_prev"
IkeaTradfriSkill,26,"handle_doctor_who_intent, handle_hello_world_intent, handle_turn_on_off_action_intent"
AmarokMusicPlayerSkill,26,"AmarokNextKeywordIntent, AmarokPauseKeywordIntent, AmarokPlayKeywordIntent, AmarokStopKeywordIntent"
NmapSkill,25,ScanIntent
mycroft-reminder.mycroftai,24,"ReminderSkillCreateIntent, ReminderSkillDeleteIntent, ReminderSkillListIntent"
EightBallSkill,24,"BallIntent, DoneIntent, QuestionIntent"
FartingSkill,24,halt_farting
test-mycroft-hello-world.mycroftai,24,"HelloWorldIntent, HowAreYouIntent, ThankYouIntent"
SocialNetworksManagerSkill,23,"CommentIntent, FriendsNumberIntent, FriendsStatusIntent, LikeIntent, MessageIntent, PostIntent, RetweetIntent, ShareIntent"
test_mycroft-volume.mycroftai,22,"DecreaseVolume, IncreaseVolume, SetVolume, UnmuteVolume"
AudioControlPlasmaDesktopSkill,22,"DecreaseVolumeKeywordIntent, IncreaseVolumeKeywordIntent, MinimumVolumeKeywordIntent"
TellStorySkill,22,"GoLeftIntent, Increase, RockIntent, StartAdventureIntent"
KCStreetcarSkill,22,"KCStreetcarIntent, SeventhAndMainNorth, SeventhAndMainSouth, ThirdAndGrand, UnionStation"
KnockKnockJokeSkill,21,"handle_tell_joke, handle_who"
SendSMSPlasmaDesktopSkill,21,SendSMSKeywordIntent
EnclosureControlSkill,21,"EnclosureEyesBlink, EnclosureLookDown, EnclosureLookLeft, EnclosureLookLeftRight, EnclosureLookRight, EnclosureLookUp, EnclosureLookUpDown, EnclosureMouthListen, EnclosureMouthSmile, EnclosureMouthThink, EnclosureReset, SystemReboot"
BBCNewsSkill,21,BBCNewsIntent
test-skill-volume,21,"DecreaseVolume, IncreaseVolume, SetVolume, UnmuteVolume"
QuestionLearnerSkill,21,QuestionLearnerAnswer
UnifiedNewsSkill,20,"BBCNewsIntent, FoxNewsIntent, GenericNewsIntent, NPRNewsIntent, TSFNewsIntent"
DeezerSkill,20,"DeezerIntent, TestIntent"
AsccbotPLaySongSkill,20,"PlaySongIntent, SongStopVerb"
test-mycroft-personal.mycroftai,20,"WhatAreYouIntent, WhenWereYouBornIntent, WhereWereYouBornIntent, WhoAreYouIntent, WhoMadeYouIntent"
mycroft-volume.mycroftai,20,"DecreaseVolume, IncreaseVolume, SetVolume, UnmuteVolume"
CAT_UK_Demo,20,"handle_car_worth, handle_delivery_quotation, handle_insurance_quote, handle_rent_car, handle_tax_query, handle_traffic_report"
IRCSkill,19,"ConnectIntent, DisconnectIntent, JoinIntent, SendIntent"
GeekHueSkill,19,GroupLightIntent
Dutch Radio,19,PlayChannelIntentDutch Radio
TodayHistorySkill,19,RandomEventIntent
ScoreSkill,18,"GetLiveScoreIntent, GetScoreIntent"
KonamiCode,18,"KonamiBIntent, KonamiDownIntent, KonamiLeftIntent, KonamiRightIntent, KonamiUpIntent"
ClassGreetingSkill,18,ClassGreetingIntent
AVmusicSkill,17,AVmusicKeyword
KateControlSkill,17,"KateFileNewKeywordIntent, KateNextTabKeywordIntent, KatePrevTabKeywordIntent"
WikiHowSkill,16,"RandomHowtoIntent, RepeatHowtoIntent, TellMoreHowtoIntent"
mycroft-audio-record.mycroftai,16,"AudioRecordSkillIntent, AudioRecordSkillPlayIntent, AudioRecordSkillStopIntent, AudioRecordSkillStopPlayIntent"
QuotesSkill,16,"quoteIntent, quote_of_the_day, random_quote"
test-mycroft-npr-news.mycroftai,16,handle_intent
FortuneSkill,16,FortuneIntent
TwitterSkill,15,"GetFollowersIntent, PostTweetIntent"
test-skill-audio-record,15,"AudioRecordSkillIntent, AudioRecordSkillPlayIntent, AudioRecordSkillStopIntent, AudioRecordSkillStopPlayIntent"
test_mycroft-audio-record.MycroftAI,14,"AudioRecordSkillIntent, AudioRecordSkillPlayIntent, AudioRecordSkillStopIntent, AudioRecordSkillStopPlayIntent"
AsccbotJokeGameSkill,14,JokeGameIntent
TableSkill,14,handle_hello_world_intent
CountSkill,14,count_number
MarchTest,14,GoodMorningIntent
GoodBoySkill,14,"handle_bark_intent, handle_hello_world_intent, handle_meow_intent"
IAmARobotSkill,14,RobotIntent
BitcoinSkill,14,"BitcoinHighIntent, BitcoinLastIntent, BitcoinVolIntent"
InspirationalQuotesSkill,13,"InspirationalQuoteIntent, QuoteIntent"
HoroSkill,13,readArticleIntent
RssReaderSkill,13,"CheckFeedsIntent, LatestFeedIntent"
test,13,handle_show_world_time
RockPaperScissorsSkill,12,"PaperIntent, RockIntent, ScissorsIntent"
test-skill-hello-world,12,"HelloWorldIntent, HowAreYouIntent, ThankYouIntent"
WemoSkill,12,"WemoDiscoverIntent, WemoListIntent, WemoSwitchIntent"
test-mycroft-weather.mycroftai,12,CurrentWeatherIntent
test_mycroft-hello-world.mycroftai,12,"HelloWorldIntent, HowAreYouIntent, ThankYouIntent"
test-mycroft-joke.mycroftai,12,"ChuckJokeIntent, JokingIntent"
test-mycroft-ip.mycroftai,12,IPIntent
test-mycroft-date-time.mycroftai,12,"handle_query_date, handle_query_time"
mycroft-hello-world.mycroftai,12,"HelloWorldIntent, HowAreYouIntent, ThankYouIntent"
KCMycroftSkill,12,"HipChatAnnounce, HipChatBurritoBrothers, HipChatClusterTruck, HipChatJimmyJohns, HipChatTest"
test-skill-reminder,11,"ReminderSkillCreateIntent, ReminderSkillDeleteIntent, ReminderSkillListIntent"
RecipeSkill,11,"PizzaIntent, RecipeIntent"
CountriesSkill,11,"CountryBorders, CountryCapital, CountryCurrency, CountryLanguage, CountryPopulation, CountryTimezone"
OneBeforeLastSkill,11,"AnsweredFalseIntent, AnsweredTrueIntent, RepeatIntent, StartupIntent"
ethereumSkill,10,ethereumIntent
test_mycroft-personal.MycroftAI,10,"WhatAreYouIntent, WhenWereYouBornIntent, WhereWereYouBornIntent, WhoAreYouIntent, WhoMadeYouIntent"
